name	chrom	cdsStart	cdsEnd	name2
NM_000314	chr10	89623194	89728532	PTEN
NM_000321	chr13	48877882	49056026	RB1
NM_003745	chr16	11348273	11350039	SOCS1
NM_015247	chr16	50775960	50835846	CYLD
NM_004360	chr16	68771194	68869444	CDH1
NM_000546	chr17	7571719	7590868	TP53
NM_003010	chr17	11924134	12047148	MAP2K4
NM_000267	chr17	29421944	29704695	NF1
NM_005359	chr18	48556582	48611411	SMAD4
NM_000455	chr19	1205797	1228434	STK11
NM_000251	chr2	47630205	47710367	MSH2
NM_000179	chr2	48010220	48034092	MSH6
NM_000268	chr22	29999544	30094589	NF2
NM_000249	chr3	37034840	37092337	MLH1
NM_000077	chr9	21967750	21975132	CDKN2A
NM_021140	chrX	44732420	44971857	KDM6A
