name	chrom	cdsStart	cdsEnd	name2	list
NM_024684	chr11	77532207	77583398	AAMDC	Curtis
NM_004920	chr17	79092201	79104885	AATK	Manning
NM_007313	chr9	133589706	133761070	ABL1	Druggable,Manning
NM_005158	chr1	179076852	179112179	ABL2	Manning
AC084123.9	chr8	128806779	128824684	AC084123.9	Curtis
NM_018367	chr11	76571916	76734850	ACER3	Curtis
NM_001005386	chr2	65455043	65495868	ACTR2	Manning
NM_001105	chr2	158594042	158656005	ACVR1	Manning
NM_004302	chr12	52345527	52387894	ACVR1B	Manning
NM_001111031	chr2	158390429	158443852	ACVR1C	Manning
NM_001106	chr3	38495813	38524823	ACVR2B	Manning
NM_000020	chr12	52306258	52314677	ACVRL1	Manning
NM_003816	chr8	38854504	38962779	ADAM9	Curtis
NM_001626	chr19	40739778	40771174	AKT2	Santarius
NM_001206729	chr1	243663044	244006472	AKT3	Santarius
NM_024079	chr11	77811987	77850699	ALG8	Curtis
NM_004304	chr2	29416089	30143525	ALK	Druggable,Manning
NM_001164690	chr12	53817718	53824976	AMHR2	Manning
NM_178510	chr11	113258606	113270989	ANKK1	Manning
NM_198401	chr8	101532999	101572014	ANKRD46	Curtis
NM_018043	chr11	69924407	70035652	ANO1	Curtis
NM_006380	chr17	58520509	58603601	APPBP2	Curtis
NM_173039	chr11	77300679	77321401	AQP11	Curtis
NM_000044	chrX	66764988	66943683	AR	Santarius
NM_001256196	chrX	47422366	47430856	ARAF	Manning
ARAF2P	chr7	62864760	62865778	ARAF2P	Manning
NM_006409	chr7	98930976	98963552	ARPC1A	Santarius
NM_004674	chr8	37963010	37997598	ASH2L	Curtis
NM_003600	chr20	54945213	54963253	AURKA	Santarius
NM_001699	chr19	41725297	41765809	AXL	Manning
NM_004874	chr8	38034105	38070819	BAG4	Curtis,Santarius
NM_001199839	chr14	23776976	23778174	BCL2L2	Santarius
NM_004327	chr22	23523147	23657709	BCR	Druggable
NM_001166	chr11	102220585	102248914	BIRC2	Santarius
NM_001715	chr8	11400733	11421617	BLK	Manning
NM_004329	chr10	88635775	88683476	BMPR1A	Manning
BMPR1APS1	chr6	129478668	129480265	BMPR1APS1	Manning
BMPR1APS2	chr11	121232559	121233631	BMPR1APS2	Manning
