Clone	Target	Chromosome	Position	Bad_P	Log2Rat	RawRat	Log2StdDev	NReplic	FISH_2	FISH	WI_cR	WI_cM	WI-RH	G3	GB4	cM_MGD	CM	MARKER_NAMES	MAP_SOURCE	MAPPING_NAME	DNASOURCE_DESCRIPTION	CLONENOTES	KB_POSITION	WELL_ID	USER_CLONE_ID
GS1-232B23	HumArray1S1_A18	1	1	1				0		1 p tel								1 p tel	TELOMERE		MSD35		0	HumArray1S1_A18	GS1-232B23
RP11-82D16	HumArray1H3_V36	1	2	0	-0.077698	0.947568	0.022434	3		1p36				12	14.16		0	AFM214YG7;D1S243	fishClones.txt	RP11-82D16	MSD13		1008	HumArray1H3_V36	RP11-82D16
RP11-62M23	HumArray1H3_W1	1	3	0	0.001834	1.001272	0.028191	3		1p36				96	17.52		6.2	AFM280WE5;D1S468	fishClones.txt	RP11-62M23	MSD13		3767	HumArray1H3_W1	RP11-62M23
RP11-111O5	HumArray1H3_W36	1	4	0	0.007465	1.005188	0.023807	3		1p36				124	21.19		12.8	AFM123XC3;D1S2893	fishClones.txt	RP11-111O5	MSD15		4738	HumArray1H3_W36	RP11-111O5
RP11-51B4	HumArray1H3_W2	1	5	0	-0.009605	0.993364	1000000.000000	1		1p36.3				195	23.89		16.4	AFM254WB9;D1S253	stsMap.txt	AFM254WB9	MSD13		6346	HumArray1H3_W2	RP11-51B4
RP11-60J11	HumArray1H3_W3	1	6	0	0.025567	1.017880	0.007498	2		1p36.2				290	26.29		16.9	AFMA210XG9;D1S2663	fishClones.txt	RP11-60J11	MSD13		7621	HumArray1H3_W3	RP11-60J11
RP11-813J5	HumArray1H5_M21	1	7	0	-0.039176	0.973211	0.036021	3		1p36.2								A006Z42;p110D	INTERPOL_GB4		MSD37		10417	HumArray1H5_M21	RP11-813J5
RP11-199O1	HumArray1H3_W4	1	8	0	0.061068	1.043237	0.004877	2		1p36.3				508	45.64		22.9	AFM220YF4;D1S244	stsMap.txt	AFM220YF4	MSD13		11074	HumArray1H3_W4	RP11-199O1
RP11-188F7	HumArray1H3_W5	1	9	0	-0.010831	0.992521	0.010253	2		1p36				590	51.32		32.2	AFM217YH8;D1S434	fishClones.txt	RP11-188F7	MSD13		13178	HumArray1H3_W5	RP11-188F7
RP11-178M15	HumArray1H3_W6	1	10	0	0.035897	1.025194	0.014666	3		1p36.2-.3				782			32.4	AFM196XB4;D1S228	fishClones.txt	RP11-178M15	MSD13		14564	HumArray1H3_W6	RP11-178M15
RP11-219F4	HumArray1H3_W7	1	11	0	-0.022212	0.984722	0.018338	3		1p36.2-.3				827	61.06		36.2	AFMA127ZC9;D1S507	fishClones.txt	RP11-219F4	MSD13		15607	HumArray1H3_W7	RP11-219F4
RP11-265F14	HumArray1H3_C1	1	12	0	0.067953	1.048228	1000000.000000	1		1p36							39.9	AFM217ZC3	fishClones.txt	RP11-265F14	MSD5		16337	HumArray1H3_C1	RP11-265F14
RP11-145C4	HumArray1H3_W8	1	13	0	0.008778	1.006103	0.006784	3		1p36							46.2	AFMA153XE9	fishClones.txt	RP11-145C4	MSD13		20645	HumArray1H3_W8	RP11-145C4
RP11-224F8	HumArray1H3_W9	1	14	0	-0.089130	0.940090	0.022077	3		1p36.1				1197	75.41		48.8	AFM343ZA9;D1S2843	fishClones.txt	RP11-224F8	MSD13		22329	HumArray1H3_W9	RP11-224F8
CTD-2128D14	HumArray1H5_F5	1	15	0	-0.058736	0.960105	0.007587	3		1p35-1p36.1					74.12			M64788;RAP1GA1	stsMap.txt	RH69163	MSD31		23968	HumArray1H5_F5	CTD-2128D14
RP11-139H5	HumArray1H3_G23	1	16	0	-0.075914	0.948741	0.008960	3	6.1	1p36.1							50.9	AFM193XB12	fishClones.txt	RP11-139H5	MSD7		24564	HumArray1H3_G23	RP11-139H5
CTD-2194B23	HumArray1H5_M22	1	17	1				0	p36.1	1p36.2								D1S3214;EPHB2	stsMap.txt	RH64763	MSD37		25446	HumArray1H5_M22	CTD-2194B23
RP11-72I19	HumArray1H3_W11	1	18	0	0.090095	1.064440	0.028243	3	.1	1p35-36							54.2	AFM113XC7	fishClones.txt	RP11-72I19	MSD13		25570	HumArray1H3_W11	RP11-72I19
RP11-57F20	HumArray1H3_W10	1	19	0	0.016714	1.011652	1000000.000000	1		1p36.1				1391	81.92		54.2	AFM294ZD1;D1S482	fishClones.txt	RP11-57F20	MSD13		26200	HumArray1H3_W10	RP11-57F20
RP11-4O6	HumArray1H3_W13	1	20	0	-0.027867	0.980869	0.012873	3	81.92	1p35							57.8	AFMA141ZB1	fishClones.txt	RP11-4O6	MSD13		30302	HumArray1H3_W13	RP11-4O6
RMC01P057	HumArray1S1_C9	1	21	0	-0.116518	0.922411	0.011197	3	57.8									RH83586	stsMap.txt	RH83586	MSD24		30317	HumArray1S1_C9	RMC01P057
CTD-2051J11	HumArray1H5_G26	1	22	0	-0.011624	0.991975	0.004881	3	81.92	1p35					94.47			sts-W81586;FGR	refflat.txt	FGR	MSD32		31307	HumArray1H5_G26	CTD-2051J11
RP11-285H13	HumArray1H3_W12	1	23	0	0.028006	1.019602	0.022944	3	1	1p35					90.66		57.2	AFMB291WB5;D1S2749	fishClones.txt	RP11-285H13	MSD13		31999	HumArray1H3_W12	RP11-285H13
RP11-62B23	HumArray1H3_C2	1	24	0	-0.000016	0.999989	0.012643	3	p35	1p35				1645	96.43		59	AFM234TB6;D1S247	fishClones.txt	RP11-62B23	MSD5		35590	HumArray1H3_C2	RP11-62B23
RP11-104J13	HumArray1H3_W14	1	25	0	0.056658	1.040053	0.028846	3		1p35-36					98.56		61.2	AFMA134XF9;D1S513	fishClones.txt	RP11-104J13	MSD13		36071	HumArray1H3_W14	RP11-104J13
CTD-2098K5	HumArray1H5_M23	1	26	1				0	61.2	1p36								SHGC-74495;LCK	stsMap.txt	RH70820	MSD37		37990	HumArray1H5_M23	CTD-2098K5
RP11-4P6	HumArray1H3_W15	1	27	0	-0.001608	0.998886	0.011138	3	-36	1p34.2				1767	104		62.9	AFMA244YD5;D1S2676	fishClones.txt	RP11-4P6	MSD13		38694	HumArray1H3_W15	RP11-4P6
RP11-51A20	HumArray1H3_W17	1	28	0	-0.076855	0.948122	0.022445	3	6	1p33				1800	110.25		64	AFM311WB1;D1S2830	fishClones.txt	RP11-51A20	MSD13		39521	HumArray1H3_W17	RP11-51A20
RP11-161A11	HumArray1H3_W16	1	29	0	-0.113970	0.924042	0.018396	3	ES	1p34-35				1832	108.15		63.4	AFMA107WF9;D1S2613	fishClones.txt	RP11-161A11	MSD13		39927	HumArray1H3_W16	RP11-161A11
RP11-118E3	HumArray1H3_W18	1	30	0	-0.050006	0.965933	1000000.000000	1		1p33				1906			65.6	AFM205XD2;D1S2730	fishClones.txt	RP11-118E3	MSD13		40628	HumArray1H3_W18	RP11-118E3
RP11-219O7	HumArray1H3_W19	1	31	0	0.009576	1.006660	0.005463	3	35	1p34.2				2029	112.62		66.1	AFMB037XF1;D1S2729	fishClones.txt	RP11-219O7	MSD13		42527	HumArray1H3_W19	RP11-219O7
RP11-207P5	HumArray1H3_W20	1	32	0	-0.053738	0.963437	0.003295	3		1p33-1p34.1				2089			66.6	AFMB013WE1;D1S2723	fishClones.txt	RP11-207P5	MSD13		42971	HumArray1H3_W20	RP11-207P5
RP11-192A12	HumArray1H5_L16	1	33	1				0	089	1p34							71.5	AFM214YC7	fishClones.txt	RP11-192A12	MSD3		44898	HumArray1H5_L16	RP11-192A12
