Block	Spot-rowy	Spot-colx	Chr	Position
1	1	1	8	35.2297865
1	1	2	8	34.7642
1	1	3	NA	NA
1	1	4	NA	NA
1	1	5	NA	NA
1	1	6	NA	NA
1	1	7	NA	NA
1	1	8	NA	NA
1	1	9	NA	NA
1	1	10	NA	NA
1	2	1	1	183.781959
1	2	2	9	94.0818505
1	2	3	10	48.3154725
1	2	4	22	40.606251
1	2	5	6	96.2891705
1	2	6	9	64.783963
1	2	7	13	49.053483
1	2	8	23	132.6127785
1	2	9	19	55.6313855
1	2	10	8	31.421865
1	3	1	11	65.1515175
1	3	2	18	65.5481505
1	3	3	3	154.8202425
1	3	4	2	12.8898125
1	3	5	8	14.100446
1	3	6	2	213.5098585
1	3	7	7	103.783829
1	3	8	5	112.595153
1	3	9	21	23.5715825
1	3	10	8	2.52061
1	4	1	NA	NA
1	4	2	NA	NA
1	4	3	NA	NA
1	4	4	NA	NA
1	4	5	15	31.68079
1	4	6	8	135.273876
1	4	7	3	0.880152
1	4	8	11	115.4375085
1	4	9	8	105.701241
1	4	10	12	51.442398
1	5	1	10	48.3154725
1	5	2	22	40.606251
1	5	3	6	96.2891705
1	5	4	9	64.783963
1	5	5	13	49.053483
1	5	6	23	132.6127785
1	5	7	19	55.6313855
1	5	8	8	31.421865
1	5	9	8	35.2297865
1	5	10	8	34.7642
1	6	1	3	154.8202425
1	6	2	2	12.8898125
1	6	3	8	14.100446
1	6	4	2	213.5098585
1	6	5	7	103.783829
1	6	6	5	112.595153
1	6	7	21	23.5715825
1	6	8	8	2.52061
1	6	9	1	183.781959
1	6	10	9	94.0818505
1	7	1	NA	NA
1	7	2	NA	NA
1	7	3	15	31.68079
1	7	4	8	135.273876
1	7	5	3	0.880152
1	7	6	11	115.4375085
1	7	7	8	105.701241
1	7	8	12	51.442398
1	7	9	11	65.1515175
1	7	10	18	65.5481505
1	8	1	6	96.2891705
1	8	2	9	64.783963
1	8	3	13	49.053483
1	8	4	23	132.6127785
1	8	5	19	55.6313855
1	8	6	8	31.421865
1	8	7	8	35.2297865
1	8	8	8	34.7642
1	8	9	NA	NA
1	8	10	NA	NA
1	9	1	8	14.100446
1	9	2	2	213.5098585
1	9	3	7	103.783829
1	9	4	5	112.595153
1	9	5	21	23.5715825
1	9	6	8	2.52061
1	9	7	1	183.781959
1	9	8	9	94.0818505
1	9	9	10	48.3154725
1	9	10	22	40.606251
1	10	1	15	31.68079
1	10	2	8	135.273876
1	10	3	3	0.880152
1	10	4	11	115.4375085
1	10	5	8	105.701241
1	10	6	12	51.442398
1	10	7	11	65.1515175
1	10	8	18	65.5481505
1	10	9	3	154.8202425
1	10	10	2	12.8898125
1	11	1	NA	NA
1	11	2	NA	NA
1	11	3	NA	NA
1	11	4	NA	NA
1	11	5	NA	NA
1	11	6	NA	NA
1	11	7	NA	NA
1	11	8	NA	NA
1	11	9	NA	NA
1	11	10	NA	NA
2	1	1	8	35.36601
2	1	2	0	NA
2	1	3	NA	NA
2	1	4	NA	NA
2	1	5	NA	NA
2	1	6	NA	NA
2	1	7	NA	NA
2	1	8	NA	NA
2	1	9	NA	NA
2	1	10	NA	NA
2	2	1	1	189.6166375
2	2	2	9	29.6030505
2	2	3	10	86.497092
2	2	4	22	31.75547
2	2	5	6	167.7516825
2	2	6	9	74.3936785
2	2	7	21	13.5392585
2	2	8	23	44.196458
2	2	9	19	9.7419315
2	2	10	8	31.5154255
2	3	1	8	50.5031685
2	3	2	3	41.101612
2	3	3	14	67.413369
2	3	4	4	13.6420315
2	3	5	12	114.038635
2	3	6	5	101.0894595
2	3	7	23	2.072911
2	3	8	8	42.2015685
