name	chrom	txStart	txEnd	name2	Duplicate
NR_046018	chr1	11873	14409	DDX11L1	0
NR_024540	chr1	14361	29370	WASH7P	0
NM_001005484	chr1	69090	70008	OR4F5	0
NR_039983	chr1	134772	140566	LOC729737	0
NR_106781	chr1	567704	567793	MIR6723	0
NR_033908	chr1	700244	714068	LOC100288069	0
NR_103536	chr1	752750	755214	FAM87B	0
NR_024321	chr1	761585	762902	LINC00115	0
NR_047526	chr1	762970	778984	LINC01128	0
NR_027055	chr1	803450	812182	FAM41C	0
NR_026874	chr1	852952	854817	LOC100130417	0
NM_152486	chr1	861120	879961	SAMD11	0
NM_015658	chr1	879582	894679	NOC2L	0
NM_198317	chr1	895966	901099	KLHL17	0
NM_001160184	chr1	901876	910484	PLEKHN1	0
NM_001291366	chr1	910578	917497	PERM1	0
NM_021170	chr1	934341	935552	HES4	0
NM_005101	chr1	948846	949919	ISG15	0
NM_198576	chr1	955502	991499	AGRN	0
NM_001205252	chr1	1007125	1009687	RNF223	0
NM_017891	chr1	1017197	1051736	C1orf159	0
NR_038869	chr1	1072396	1079434	LOC254099	0
NR_029639	chr1	1102483	1102578	MIR200B	0
NR_029834	chr1	1103242	1103332	MIR200A	0
NR_029957	chr1	1104384	1104467	MIR429	0
NM_153254	chr1	1115076	1121243	TTLL10	0
NM_004195	chr1	1138887	1142089	TNFRSF18	0
NM_003327	chr1	1146705	1149548	TNFRSF4	0
NM_016176	chr1	1152287	1167447	SDF4	0
NM_080605	chr1	1167628	1170420	B3GALT6	0
NM_001014980	chr1	1177825	1182102	FAM132A	0
NM_194457	chr1	1189291	1209234	UBE2J2	0
NR_037668	chr1	1215815	1227409	SCNN1D	0
NM_030649	chr1	1227763	1243269	ACAP3	0
NR_106784	chr1	1231489	1231550	MIR6726	0
NM_153339	chr1	1243993	1247057	PUSL1	0
NM_001256456	chr1	1246964	1260067	CPSF3L	0
NR_106785	chr1	1247881	1247946	MIR6727	0
NM_001029885	chr1	1260142	1264276	GLTPD1	0
NM_152228	chr1	1266725	1269844	TAS1R3	0
NM_004421	chr1	1270657	1284492	DVL1	0
NR_106866	chr1	1275029	1275088	MIR6808	0
NM_032348	chr1	1288068	1294174	MXRA8	0
NM_001127229	chr1	1309109	1310580	AURKAIP1	0
NM_001039577	chr1	1327667	1334718	CCNL2	0
NR_015434	chr1	1334909	1337426	LOC148413	0
NM_017971	chr1	1337275	1342693	MRPL20	0
NM_001243535	chr1	1353799	1356824	ANKRD65	0
NM_001146685	chr1	1361507	1363167	TMEM88B	0
NM_199121	chr1	1370902	1378262	VWA1	0
NM_001039211	chr1	1385068	1405538	ATAD3C	0
NM_031921	chr1	1407163	1431582	ATAD3B	0
NM_001170535	chr1	1447522	1470067	ATAD3A	0
NM_001114748	chr1	1470157	1475740	TMEM240	0
NM_014188	chr1	1477052	1510262	SSU72	0
NM_001242659	chr1	1533387	1535476	C1orf233	0
NM_001170686	chr1	1550794	1565990	MIB2	0
NM_006983	chr1	1567559	1570030	MMP23B	0
NM_033489	chr1	1570602	1655859	CDK11B	0
NM_001110781	chr1	1592938	1624243	SLC35E2B	0
NR_002946	chr1	1631377	1633247	MMP23A	0
NM_033529	chr1	1634169	1655791	CDK11A	0
NM_001199787	chr1	1656276	1677438	SLC35E2	0
NM_001198995	chr1	1682670	1690081	NADK	0
NM_001282539	chr1	1716723	1822556	GNB1	0
NM_138705	chr1	1846265	1848733	CALML6	0
NM_178545	chr1	1849028	1850740	TMEM52	0
NM_001080484	chr1	1884751	1935276	KIAA1751	0
NM_000815	chr1	1950767	1962192	GABRD	0
NM_002744	chr1	1981908	2116834	PRKCZ	0
NM_001282672	chr1	2115898	2126214	C1orf86	0
NM_003036	chr1	2160133	2241652	SKI	0
NM_024848	chr1	2252695	2322993	MORN1	0
NR_024489	chr1	2281852	2284100	LOC100129534	0
NM_007033	chr1	2323213	2336885	RER1	0
NM_002617	chr1	2336240	2344010	PEX10	0
NM_014638	chr1	2407753	2436964	PLCH2	0
NM_018216	chr1	2439974	2458035	PANK4	0
NM_001010926	chr1	2460183	2461684	HES5	0
NR_026927	chr1	2481358	2484284	LOC115110	0
NR_037844	chr1	2487207	2488450	LOC100133445	0
NM_003820	chr1	2487804	2495267	TNFRSF14	0
NM_152371	chr1	2518188	2522908	FAM213B	0
NM_033467	chr1	2522080	2564481	MMEL1	0
NM_001242672	chr1	2572806	2706230	TTC34	0
NM_080431	chr1	2938045	2939467	ACTRT2	0
NR_015440	chr1	2976180	2984289	LINC00982	0
NM_199454	chr1	2985741	3355185	PRDM16	0
NR_036215	chr1	3044538	3044599	MIR4251	0
NM_014448	chr1	3371146	3397677	ARHGEF16	0
NM_001409	chr1	3404505	3528059	MEGF6	0
NR_030277	chr1	3477259	3477354	MIR551A	0
NM_182752	chr1	3541555	3546694	TPRG1L	0
NM_017818	chr1	3547330	3566671	WRAP73	0
NM_001126240	chr1	3607235	3652765	TP73	0
NR_033708	chr1	3652547	3663937	TP73-AS1	0
NM_152492	chr1	3668964	3688209	CCDC27	0
NM_001288583	chr1	3689324	3692546	SMIM1	0
